Table: Viscosity [G]
Temperature {K} 	Pressure {kPa} 	Viscosity {Pa·s} 	Uncertainty {Pa·s} 
280	1800	1.45713e-5	2.9e-9
280	2000	1.46602e-5	3.7e-9
280	2200	1.47544e-5	4.6e-9
280	2400	1.48547e-5	5.7e-9
280	2600	1.49620e-5	7.1e-9
280	2800	1.50776e-5	8.7e-9
280	3000	1.5203e-5	1.1e-8
280	3200	1.5341e-5	1.3e-8
280	3400	1.5493e-5	1.7e-8
280	3600	1.5666e-5	2.2e-8
281	0.05	1.40e-5	1.4e-6
281	200	1.4043500e-5	3e-11
281	400	1.410520e-5	1.2e-10
281	600	1.416920e-5	2.8e-10
281	800	1.423570e-5	5e-10
281	1000	1.430500e-5	7.9e-10
281	1200	1.43774e-5	1.2e-9
281	1400	1.44531e-5	1.6e-9
281	1600	1.45325e-5	2.2e-9
281	1800	1.46159e-5	2.8e-9
281	2000	1.47040e-5	3.6e-9
281	2200	1.47972e-5	4.5e-9
281	2400	1.48963e-5	5.6e-9
281	2600	1.50022e-5	6.9e-9
281	2800	1.51161e-5	8.4e-9
281	3000	1.5239e-5	1e-8
281	3200	1.5374e-5	1.3e-8
281	3400	1.5523e-5	1.6e-8
281	3600	1.5690e-5	2e-8
282	0.05	1.40e-5	1.4e-6
282	200	1.4092000e-5	2.9e-11
282	400	1.415330e-5	1.2e-10
282	600	1.421700e-5	2.7e-10
282	800	1.428310e-5	4.9e-10
282	1000	1.435200e-5	7.8e-10
282	1200	1.44239e-5	1.1e-9
282	1400	1.44991e-5	1.6e-9
282	1600	1.45778e-5	2.1e-9
282	1800	1.46606e-5	2.8e-9
282	2000	1.47478e-5	3.5e-9
282	2200	1.48401e-5	4.4e-9
282	2400	1.49380e-5	5.4e-9
282	2600	1.50426e-5	6.7e-9
282	2800	1.51547e-5	8.2e-9
282	3000	1.52759e-5	10e-8
282	3200	1.5408e-5	1.2e-8
282	3400	1.5553e-5	1.5e-8
282	3600	1.5715e-5	1.9e-8
282	3800	1.5900e-5	2.5e-8
283	0.05	1.41e-5	1.4e-6
283	200	1.4140400e-5	2.9e-11
283	400	1.420140e-5	1.2e-10
283	600	1.426470e-5	2.7e-10
283	800	1.433050e-5	4.8e-10
283	1000	1.439900e-5	7.7e-10
283	1200	1.44704e-5	1.1e-9
283	1400	1.45450e-5	1.6e-9
283	1600	1.46232e-5	2.1e-9
283	1800	1.47053e-5	2.7e-9
283	2000	1.47917e-5	3.4e-9
